,Year,Quarter,LGA,Sex,0-4,5-14,15-24,25-34,35-44,45-54,55-64,>=65,Total,Year_Quarter
449,2023,2,Markafi,Female,2,7,11,20,12,5,4,4,65,2023 Q2
450,2023,2,Sabon-Gari,Male,5,10,34,46,44,17,10,6,172,2023 Q2
451,2023,2,Sabon-Gari,Female,3,8,49,45,22,5,6,3,141,2023 Q2
452,2023,2,Sanga,Male,0,4,0,8,6,3,4,2,27,2023 Q2
453,2023,2,Sanga,Female,0,2,2,4,5,6,1,1,21,2023 Q2
454,2023,2,Soba,Male,0,6,7,16,20,2,3,1,55,2023 Q2
455,2023,2,Soba,Female,0,7,5,10,6,7,2,2,39,2023 Q2
456,2023,2,Zango-Kataf,Male,0,0,5,28,38,42,29,4,146,2023 Q2
457,2023,2,Zango-Kataf,Female,0,0,2,12,27,23,8,0,72,2023 Q2
458,2023,2,Zaria,Male,22,16,201,99,34,23,21,20,436,2023 Q2
459,2023,2,Zaria,Female,11,17,120,88,29,60,24,20,369,2023 Q2
